"c_muestra_wineseq","total"
"E11001",739
"A3T005",740
"A3U001",740
"A06A1M",744
"A3700A",744
"E08008",745
"A09A1H",746
"A03A09",747
"A09A12",747
"A17A06",747
"A29A06",747
"A31A03",747
"A3U002",747
"P0104S",747
"E08005",749
"A07A05",751
"A31A06",751
"P01005",751
"A24A0C",752
"A3S006",752
"WWW01V",752
"A11A0B",753
"A24A2E",754
"A3S000",754
"P0102H",754
"000A08",755
"A0213F",755
"WWW03P",755
"A02094",756
"A03A03",760
"A36003",760
"APG012",760
"APY004",760
"A06A0L",761
"E08003",761
"P0104R",761
"WWW02K",761
"A47001",764
"APG00O",764
"E14002",764
"WWW01R",765
"E08001",766
"A09A14",767
"A56007",768
"A06A0B",769
"WWW034",770
"A5600B",772
"A07A0F",773
"A29A34",773
"A3U00C",773
"A5600C",773
"APY000",774
"A09A0O",775
"A17A03",775
"000A01",776
"000C09",776
"A02128",776
"A11A0C",776
"A17A0G",776
"A0213K",777
"A5G000",780
"A37003",783
"A02023",784
"A16A04",784
"A3B004",784
"A03A04",785
"A17A09",785
"WWW03M",785
"A0213M",786
"A29A37",786
"E18000",786
"A05A03",788
"A17A0C",789
"A29A38",789
"B0100F",789
"A25A0R",791
"A56009",791
"A5600A",792
"APG011",792
"A02137",793
"A02054",794
"A0213C",794
"A0213J",794
"A3U009",795
"E11004",795
"WWW02W",795
"A09A1I",798
"BMK03S",799
"E11003",799
"BMK03T",801
"APY003",802
"A3H004",803
"WWW02M",804
"A17A0L",805
"APY002",805
"A3H001",806
"APQ000",807
"WWW041",807
"A09A0M",808
"APG00V",809
"E14004",809
"A22A05",810
"A3S001",811
"A3U007",812
"A29A16",813
"WWW002",814
"A17A08",815
"A0213A",816
"A31A05",816
"A3I006",817
"APG009",817
"A17A0M",818
"A24A1K",820
"WWW01D",820
"A56008",821
"A27A00",824
"A3S002",824
"A29A31",826
"A24A1U",828
"A3Y000",829
"A10A02",830
"WWW03R",830
"A22A04",832
"A36002",833
"A0213B",834
"A09A0P",834
"A31A04",834
"A29A32",836
"A5601A",837
"A07A0J",839
"A22A02",839
"A09A0L",840
"A3E002",840
"WWW018",840
"A24A19",841
"A29A07",841
"A29A30",841
"APG00U",841
"A3Y003",842
"A5H000",842
"A24A24",844
"A3Q008",844
"A3T000",844
"A0213L",845
"A29A15",845
"A3H002",845
"A02124",849
"A09A0K",849
"A37000",849
"A02019",850
"A16A03",850
"A3G003",850
"A3B005",851
"A17A0D",852
"A3S003",853
"AB0000",854
"A0214J",855
"A29A22",855
"E08002",855
"A24A1W",857
"A29A14",857
"E08009",857
"A17A05",859
"A22A03",861
"WWW02N",861
"A3D008",862
"E14003",866
"WWW03S",866
"A02148",867
"A02127",872
"A09A0J",873
"A3I002",873
"A3V000",873
"A16A02",875
"A17A07",875
"WWW025",875
"A29A17",876
"A09A0N",877
"A3I003",878
"WWW023",878
"A3U005",879
"A3Y001",879
"A3Y002",879
"A05A04",880
"A25A0T",881
"A0213S",882
"A17A01",882
"A3I007",884
"E14001",884
"A05A0D",885
"A17A0E",886
"A22A01",886
"WWW044",886
"A5N000",887
"WWW030",887
"A24A06",889
"A3B003",891
"A3V001",891
"A02008",893
"A3D004",893
"WWW03U",893
"A09A0R",895
"A24A0D",895
"A09A0T",896
"A0214C",898
"A17A0F",898
"A29A39",898
"A02140",899
"A09A0S",901
"A17A0I",902
"A02006",904
"A09A11",904
"A07A0H",905
"A5C000",908
"A09A09",910
"A02020",911
"A17A0K",911
"A3U00F",911
"A09A0I",913
"A17A0N",913
"A29A05",913
"A09A0Q",914
"A17A02",914
"APG014",918
"WWW02A",918
"A0214N",920
"A24A1H",921
"A24A1I",923
"A3U00E",924
"WWW042",926
"A24A18",928
"A24A1S",928
"WWW047",930
"A24A1J",931
"A31A08",931
"A24A0E",935
"A24A25",935
"WWW04D",935
"WWW02R",936
"A24A1F",937
"000A04",938
"A24A1E",938
"A09A0U",941
"A3I001",941
"WWW01U",941
"WWW045",945
"A17A0A",947
"A14A03",949
"A24A1Q",950
"A02005",951
"A17A00",951
"A09A0V",952
"A3U006",952
"A24A1Z",953
"A5600Q",953
"A24A12",954
"A24A16",954
"A3I005",954
"A3Q009",954
"A02024",955
"A02007",958
"A3I004",958
"A24A1G",960
"A3U00D",963
"A0214D",966
"A24A0R",966
"A16A01",973
"A3E001",973
"A37002",974
"A3E000",974
"A24A26",975
"A02014",976
"A24A0J",977
"WWW03Z",981
"A24A2N",984
"A09A0Z",986
"A0214R",987
"WWW04E",990
"A24A17",991
"A3Q00N",993
"A3I000",997
"A5600P",997
"A3Q00P",1002
"A02066",1006
"A24A0I",1010
"WWW03J",1015
"A02040",1017
"A3Q00M",1019
"A24A1T",1020
"A02065",1021
"A24A0S",1024
"A24A1B",1030
"A17A0J",1031
"A24A1A",1031
"A24A2L",1032
"WWW01Z",1033
"A14A01",1035
"A24A2J",1035
"A24A2I",1036
"A24A2H",1037
"A17A0B",1038
"A24A1N",1039
"A24A1R",1039
"A24A2K",1048
"WWW021",1048
"A24A20",1066
"000A06",1071
"A09A10",1071
"A24A13",1072
"A24A1V",1072
"A3K000",1081
"A3Q00O",1084
"A24A2O",1086
"A24A28",1090
"WWW02D",1092
"A24A14",1101
"A24A2G",1118
"A3U008",1125
"A24A23",1137
"A3U00B",1137
"A29A18",1151
"A3U003",1157
"A24A2M",1170
"A24A2F",1178
"A02049",1206
"A3U00A",1232
